Test Error	Training Error	Valid Error	
 9.6362e-01	 9.0326e-01	 9.5320e-01	
 9.5184e-01	 9.0318e-01	 9.4609e-01	
 9.6463e-01	 9.0389e-01	 9.5545e-01	
 9.6463e-01	 9.0380e-01	 9.5545e-01	
 9.5756e-01	 9.0434e-01	 9.5021e-01	
 9.6463e-01	 9.0355e-01	 9.5545e-01	
 9.6935e-01	 9.0318e-01	 9.5732e-01	
 9.6463e-01	 9.0351e-01	 9.5545e-01	
 9.6059e-01	 9.0197e-01	 9.4759e-01	
 9.6632e-01	 9.0343e-01	 9.5170e-01	
 9.6935e-01	 9.0330e-01	 9.5732e-01	
 9.6463e-01	 9.0239e-01	 9.5545e-01	
 9.6935e-01	 9.0597e-01	 9.5732e-01	
 9.6935e-01	 9.0314e-01	 9.5732e-01	
 9.6935e-01	 9.0305e-01	 9.5732e-01	
 9.6463e-01	 9.0280e-01	 9.5545e-01	
 9.6362e-01	 9.0439e-01	 9.5320e-01	
 9.6935e-01	 9.0451e-01	 9.5732e-01	
 9.5184e-01	 9.0326e-01	 9.4609e-01	
 9.6228e-01	 9.0251e-01	 9.5208e-01	
 9.6935e-01	 9.0268e-01	 9.5732e-01	
 9.6935e-01	 9.0231e-01	 9.5732e-01	
 9.6362e-01	 9.0310e-01	 9.5320e-01	
 9.6935e-01	 9.0422e-01	 9.5732e-01	
 9.5756e-01	 9.0380e-01	 9.5021e-01	
 9.6362e-01	 9.0310e-01	 9.5320e-01	
 9.6935e-01	 9.0330e-01	 9.5732e-01	
 9.6228e-01	 9.0339e-01	 9.5208e-01	
 9.6935e-01	 9.0268e-01	 9.5732e-01	
 9.5756e-01	 9.0305e-01	 9.5021e-01	
 9.5756e-01	 9.0285e-01	 9.5021e-01	
 9.6463e-01	 9.0405e-01	 9.5545e-01	
 9.6463e-01	 9.0459e-01	 9.5545e-01	
 9.5756e-01	 9.0330e-01	 9.5021e-01	
 9.6463e-01	 9.0280e-01	 9.5545e-01	
 9.5655e-01	 9.0243e-01	 9.4796e-01	
 9.5756e-01	 9.0355e-01	 9.5021e-01	
 9.5184e-01	 9.0197e-01	 9.4609e-01	
 9.6935e-01	 9.0359e-01	 9.5732e-01	
 9.5925e-01	 9.0376e-01	 9.4646e-01	
 9.6935e-01	 9.0222e-01	 9.5732e-01	
 9.6463e-01	 9.0305e-01	 9.5545e-01	
 9.6228e-01	 9.0364e-01	 9.5208e-01	
 9.6362e-01	 9.0251e-01	 9.5320e-01	
 9.6463e-01	 9.0231e-01	 9.5545e-01	
 9.6935e-01	 9.0355e-01	 9.5732e-01	
 9.6935e-01	 9.0293e-01	 9.5732e-01	
 9.6362e-01	 9.0310e-01	 9.5320e-01	
 9.6228e-01	 9.0222e-01	 9.5208e-01	
 9.6362e-01	 9.0409e-01	 9.5320e-01	
 9.5184e-01	 9.0339e-01	 9.4609e-01	
 9.6362e-01	 9.0409e-01	 9.5320e-01	
 9.6935e-01	 9.0351e-01	 9.5732e-01	
 9.5756e-01	 9.0343e-01	 9.5021e-01	
 9.6935e-01	 9.0422e-01	 9.5732e-01	
 9.6935e-01	 9.0247e-01	 9.5732e-01	
 9.6228e-01	 9.0372e-01	 9.5208e-01	
 9.5891e-01	 9.0285e-01	 9.5133e-01	
 9.6362e-01	 9.0522e-01	 9.5320e-01	
 9.6463e-01	 9.0151e-01	 9.5545e-01	
 9.6935e-01	 9.0335e-01	 9.5732e-01	
 9.6463e-01	 9.0447e-01	 9.5545e-01	
 9.6935e-01	 9.0285e-01	 9.5732e-01	
 9.6228e-01	 9.0351e-01	 9.5208e-01	
 9.6362e-01	 9.0210e-01	 9.5320e-01	
 9.5891e-01	 9.0397e-01	 9.5133e-01	
 9.6935e-01	 9.0543e-01	 9.5732e-01	
 9.6228e-01	 9.0318e-01	 9.5208e-01	
 9.6463e-01	 9.0401e-01	 9.5545e-01	
 9.6228e-01	 9.0372e-01	 9.5208e-01	
 9.6935e-01	 9.0305e-01	 9.5732e-01	
 9.6935e-01	 9.0447e-01	 9.5732e-01	
 9.6362e-01	 9.0397e-01	 9.5320e-01	
 9.6228e-01	 9.0439e-01	 9.5208e-01	
 9.6463e-01	 9.0343e-01	 9.5545e-01	
 9.6935e-01	 9.0397e-01	 9.5732e-01	
 9.6463e-01	 9.0355e-01	 9.5545e-01	
 9.5756e-01	 9.0405e-01	 9.5021e-01	
 9.6228e-01	 9.0206e-01	 9.5208e-01	
 9.6228e-01	 9.0430e-01	 9.5208e-01	
 9.6228e-01	 9.0280e-01	 9.5208e-01	
 9.5756e-01	 9.0335e-01	 9.5021e-01	
 9.6935e-01	 9.0351e-01	 9.5732e-01	
 9.6463e-01	 9.0272e-01	 9.5545e-01	
 9.6463e-01	 9.0368e-01	 9.5545e-01	
 9.5655e-01	 9.0372e-01	 9.4796e-01	
 9.6228e-01	 9.0326e-01	 9.5208e-01	
 9.6228e-01	 9.0405e-01	 9.5208e-01	
 9.5184e-01	 9.0276e-01	 9.4609e-01	
 9.6362e-01	 9.0305e-01	 9.5320e-01	
 9.5756e-01	 9.0372e-01	 9.5021e-01	
 9.6228e-01	 9.0268e-01	 9.5208e-01	
 9.6228e-01	 9.0301e-01	 9.5208e-01	
 9.5925e-01	 9.0339e-01	 9.4646e-01	
 9.6362e-01	 9.0293e-01	 9.5320e-01	
 9.5756e-01	 9.0443e-01	 9.5021e-01	
 9.6463e-01	 9.0264e-01	 9.5545e-01	
 9.6362e-01	 9.0251e-01	 9.5320e-01	
 9.6935e-01	 9.0513e-01	 9.5732e-01	
 9.6228e-01	 9.0368e-01	 9.5208e-01	
 9.6463e-01	 9.0355e-01	 9.5545e-01	
 9.6362e-01	 9.0380e-01	 9.5320e-01	
 9.6463e-01	 9.0335e-01	 9.5545e-01	
 9.6463e-01	 9.0289e-01	 9.5545e-01	
 9.5655e-01	 9.0251e-01	 9.4796e-01	
 9.6228e-01	 9.0326e-01	 9.5208e-01	
 9.6463e-01	 9.0264e-01	 9.5545e-01	
 9.6362e-01	 9.0343e-01	 9.5320e-01	
 9.6463e-01	 9.0280e-01	 9.5545e-01	
 9.6362e-01	 9.0255e-01	 9.5320e-01	
 9.6362e-01	 9.0409e-01	 9.5320e-01	
 9.6228e-01	 9.0335e-01	 9.5208e-01	
 9.6935e-01	 9.0289e-01	 9.5732e-01	
 9.6935e-01	 9.0339e-01	 9.5732e-01	
 9.5756e-01	 9.0280e-01	 9.5021e-01	
 9.6935e-01	 9.0285e-01	 9.5732e-01	
 9.5655e-01	 9.0222e-01	 9.4796e-01	
 9.6362e-01	 9.0197e-01	 9.5320e-01	
 9.6463e-01	 9.0372e-01	 9.5545e-01	
 9.6463e-01	 9.0289e-01	 9.5545e-01	
 9.6463e-01	 9.0372e-01	 9.5545e-01	
 9.5756e-01	 9.0443e-01	 9.5021e-01	
 9.6463e-01	 9.0260e-01	 9.5545e-01	
 9.6463e-01	 9.0239e-01	 9.5545e-01	
 9.6935e-01	 9.0389e-01	 9.5732e-01	
 9.6463e-01	 9.0384e-01	 9.5545e-01	
 9.6463e-01	 9.0484e-01	 9.5545e-01	
 9.5655e-01	 9.0339e-01	 9.4796e-01	
 9.6463e-01	 9.0380e-01	 9.5545e-01	
 9.6228e-01	 9.0414e-01	 9.5208e-01	
 9.5756e-01	 9.0260e-01	 9.5021e-01	
 9.6463e-01	 9.0326e-01	 9.5545e-01	
 9.6935e-01	 9.0426e-01	 9.5732e-01	
 9.6463e-01	 9.0409e-01	 9.5545e-01	
 9.6463e-01	 9.0189e-01	 9.5545e-01	
 9.6935e-01	 9.0314e-01	 9.5732e-01	
 9.5756e-01	 9.0210e-01	 9.5021e-01	
 9.6228e-01	 9.0468e-01	 9.5208e-01	
 9.5756e-01	 9.0314e-01	 9.5021e-01	
 9.6228e-01	 9.0347e-01	 9.5208e-01	
 9.6228e-01	 9.0218e-01	 9.5208e-01	
 9.6463e-01	 9.0343e-01	 9.5545e-01	
 9.6463e-01	 9.0443e-01	 9.5545e-01	
 9.6228e-01	 9.0439e-01	 9.5208e-01	
 9.6362e-01	 9.0260e-01	 9.5320e-01	
 9.6935e-01	 9.0235e-01	 9.5732e-01	
 9.6362e-01	 9.0430e-01	 9.5320e-01	
 9.6228e-01	 9.0264e-01	 9.5208e-01	
 9.6463e-01	 9.0343e-01	 9.5545e-01	
 9.5655e-01	 9.0147e-01	 9.4796e-01	
 9.6228e-01	 9.0272e-01	 9.5208e-01	
 9.6463e-01	 9.0318e-01	 9.5545e-01	
 9.6463e-01	 9.0289e-01	 9.5545e-01	
 9.6228e-01	 9.0235e-01	 9.5208e-01	
 9.6463e-01	 9.0218e-01	 9.5545e-01	
 9.5891e-01	 9.0393e-01	 9.5133e-01	
 9.6935e-01	 9.0351e-01	 9.5732e-01	
 9.6463e-01	 9.0297e-01	 9.5545e-01	
 9.5756e-01	 9.0368e-01	 9.5021e-01	
 9.5184e-01	 9.0310e-01	 9.4609e-01	
 9.6935e-01	 9.0276e-01	 9.5732e-01	
 9.6935e-01	 9.0226e-01	 9.5732e-01	
 9.5756e-01	 9.0588e-01	 9.5021e-01	
 9.5655e-01	 9.0185e-01	 9.4796e-01	
 9.6463e-01	 9.0359e-01	 9.5545e-01	
 9.6935e-01	 9.0310e-01	 9.5732e-01	
 9.6362e-01	 9.0397e-01	 9.5320e-01	
 9.6935e-01	 9.0339e-01	 9.5732e-01	
 9.6935e-01	 9.0264e-01	 9.5732e-01	
 9.6463e-01	 9.0422e-01	 9.5545e-01	
 9.6463e-01	 9.0293e-01	 9.5545e-01	
 9.6463e-01	 9.0364e-01	 9.5545e-01	
 9.6935e-01	 9.0268e-01	 9.5732e-01	
 9.6463e-01	 9.0280e-01	 9.5545e-01	
 9.6362e-01	 9.0430e-01	 9.5320e-01	
 9.6463e-01	 9.0455e-01	 9.5545e-01	
 9.5756e-01	 9.0339e-01	 9.5021e-01	
 9.5756e-01	 9.0330e-01	 9.5021e-01	
 9.6935e-01	 9.0384e-01	 9.5732e-01	
 9.6228e-01	 9.0389e-01	 9.5208e-01	
 9.6463e-01	 9.0359e-01	 9.5545e-01	
 9.5756e-01	 9.0268e-01	 9.5021e-01	
 9.6935e-01	 9.0310e-01	 9.5732e-01	
 9.6463e-01	 9.0318e-01	 9.5545e-01	
 9.6463e-01	 9.0193e-01	 9.5545e-01	
 9.6935e-01	 9.0318e-01	 9.5732e-01	
 9.6228e-01	 9.0389e-01	 9.5208e-01	
 9.5655e-01	 9.0422e-01	 9.4796e-01	
 9.6228e-01	 9.0168e-01	 9.5208e-01	
 9.6935e-01	 9.0305e-01	 9.5732e-01	
 9.6935e-01	 9.0280e-01	 9.5732e-01	
 9.6463e-01	 9.0326e-01	 9.5545e-01	
 9.6228e-01	 9.0260e-01	 9.5208e-01	
 9.6463e-01	 9.0443e-01	 9.5545e-01	
 9.6935e-01	 9.0222e-01	 9.5732e-01	
 9.6935e-01	 9.0235e-01	 9.5732e-01	
 9.6362e-01	 9.0513e-01	 9.5320e-01	
 9.6935e-01	 9.0447e-01	 9.5732e-01	
 9.6935e-01	 9.0285e-01	 9.5732e-01	
 9.6935e-01	 9.0272e-01	 9.5732e-01	
 9.6463e-01	 9.0455e-01	 9.5545e-01	
 9.6463e-01	 9.0314e-01	 9.5545e-01	
 9.5756e-01	 9.0280e-01	 9.5021e-01	
 9.6228e-01	 9.0376e-01	 9.5208e-01	
 9.6362e-01	 9.0251e-01	 9.5320e-01	
 9.6935e-01	 9.0343e-01	 9.5732e-01	
 9.6935e-01	 9.0430e-01	 9.5732e-01	
 9.6935e-01	 9.0268e-01	 9.5732e-01	
 9.6463e-01	 9.0310e-01	 9.5545e-01	
 9.6935e-01	 9.0201e-01	 9.5732e-01	
 9.6935e-01	 9.0285e-01	 9.5732e-01	
 9.6463e-01	 9.0484e-01	 9.5545e-01	
 9.6228e-01	 9.0339e-01	 9.5208e-01	
 9.5756e-01	 9.0231e-01	 9.5021e-01	
 9.6228e-01	 9.0393e-01	 9.5208e-01	
 9.5756e-01	 9.0314e-01	 9.5021e-01	
 9.6228e-01	 9.0214e-01	 9.5208e-01	
 9.6228e-01	 9.0310e-01	 9.5208e-01	
 9.6362e-01	 9.0280e-01	 9.5320e-01	
 9.6935e-01	 9.0314e-01	 9.5732e-01	
 9.5891e-01	 9.0422e-01	 9.5133e-01	
 9.6362e-01	 9.0364e-01	 9.5320e-01	
 9.6935e-01	 9.0559e-01	 9.5732e-01	
